Category,Subcategory,Name,Location,Website,Map Coordinates,Mobile Numbers
Business Services,General Business,Metro Pest Control Service,"Dhapasi, Kathmandu, Nepal",www.metropest.blogspot.com,"27.76770958783,85.3273773193359",9863553355
Business Services,General Business,S&S Logistic Pvt. LTD.,"Uttar Dhoka, Kholagal Marga, Kathmandu, Nepal, Kathmandu",www.snslogistic.com.np/,"27.7178753293448,85.3232111045341",9851067192
Business Services,General Business,Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal, Pokhara",vigorousitsolution.com,"28.1914668394868,83.9507962451218",9816162802
Business Services,General Business,Modern Cleaning,"Balkumari-9, Lalitpur, Nepal",www.moderncleaning.com.np/,"27.7015339435638,85.3516734391451",9801084561
Business Services,General Business,"Shree Yoga Retreat, Nepal","Maitrinagar, Kirtipur, Kathmandu, Nepal",www.shreeyoganepal.wordpress.com,"27.6885773497446,85.2789637615662",9814140515
Business Services,General Business,Raindrops Creation,"Lazimpat, Kathmandu, Nepal",www.raindropscreation.com,"27.7229034922392,85.3230106626177",9849167154
Business Services,General Business,Visit Himalaya Treks Pvt.Ltd.,"Thamel marg, Kathmandu, Kathmandu, Nepal",www.visithimalayastrek.com/,"27.7172841113306,85.3117896616459",9851171527
Business Services,General Business,Tarang Tech,"Maitidevi,Kathmandu BA 44600,Nepal, Kathmandu",www.tarang.com.np,"27.7062608355629,85.3335678577423",9867123563
Business Services,General Business,Samyak International Pvt Ltd,"Bhaktapur, Bhaktapur, Nepal",handicraftshopsnepal.com/,"27.6677178140727,85.4290008544922",9849825407
Business Services,General Business,Green Suppliers,"Lainchour-29, Kathmandu, Nepal (Opposite to Pacific Guest House), Kathmandu",greensuppliers.com.np/,"27.7127583846138,85.3197383880615",9851098289
Business Services,General Business,Himalayan Sanctuary Adventure,"Sorakhutte, Kathmandu, Nepal",www.himalayasanctuary.com,"27.72039884026,85.3086234055886",9843138264
Business Services,General Business,Everest Flyers,"Pinglashthan, Gaushala, Kathmandu, Kathmandu, Nepal",everestflyers.com,"27.7054095109955,85.3479185619021",9849405110
Business Services,General Business,Nepal Yoga Institute,"Budhanilkantha-11,Nepal - 44600, Kathmandu",www.nepalyogainstitute.com,"27.768696,85.3461935",9860480478
Business Services,General Business,Rillmark Pvt Ltd,"Maitidevi, Setopool , Kathmandu, Nepal",rillmark.com/,"27.7030268478368,85.3358011116962",9840445753
Business Services,Small Business,Durga Beej Bhandar,"Chhireshwornath-5, Dhanusha, Nepal, Mahendranagar",durga-beej-bhandar-agrochemicals-supplier.business.site/,"26.8663538357535,85.9636147521496",9807824963
Business Services,Small Business,Arun Smart Interactive Services,"Shantinagar-4, Nepal, Janakpur",www.asisnepal.blogspot.com,"26.7247793922509,85.9268510341644",9844431480
Business Services,Small Business,Hamro Store (p) Ltd.,"Chapagaun-6, Lalitpur, Kathmandu, Nepal",www.hamrostore.com,"27.5914845,85.3265449",9851188334
Business Services,Small Business,Simrik Real Nepal Treks & Expedition (P) Ltd,"thamel, z-street, Kathmandu, Nepal",www.simriknepaltreks.com,"27.7172486014159,85.3097525209015",9849430866
Business Services,Small Business,wholesalenepal Pvt Ltd WSN group,"PO Box 8974 - CPC 552, Kathmandu, Nepal",www.wholesalenepal.com,"27.7168966575856,85.3117884560879",9818677422
Business Services,Small Business,Mt. Everest Honey Concern,"Lazimpat-2, kathmaudu, Kathmandu, Nepal",www.ehoney.com.np/,"27.7192802752458,85.3180523515778",9818081815
Business Services,Small Business,Smart It Trading,"New Baneshwor,Kathmandu, Kathmandu, Nepal",www.smartittrading.com.np/,"27.6922136080893,85.3420620847204",9823460751
Business Services,Small Business,Thermal Engineering,"Ghodaghodi Municipality, Sukhad Kailali Nepal, Dhangadhi",thermalengineeringboilerandburnersupplier.business.site/,"28.6699472933108,80.9588758370647",9800685535
Business Services,Small Business,Samyak International Pvt Ltd,"Bhaktapur, Bhaktapur, Nepal",handicraftshopsnepal.com/,"27.6677178140727,85.4290008544922",9849825407
Business Services,Small Business,Bishnu-Laxmi Concern,"Aloknagar Marg, Kathmandu, Nepal, Kathmandu",www.blcnepal.com,"27.6860213890969,85.3414317592978",9841355155
Business Services,Small Business,Bag/Suitcase Repair,"Thimi, Dakshinbarahi marg, Bhaktapur , Bhaktapur, Nepal",www.shiwakoti.com,"27.6691217306397,85.370553609607",9851097552
Business Services,Small Business,B.R.B. Management Service Pvt. Ltd.,"Mahadevsthan Marga-32, Koteshwor, Kathmandu, Nepal",www.brbmanagement.com,"27.680442155899,85.349284319412",9849027448
Business Services,Small Business,Butwal automobile(butwal krishi yantra ghar),"butwal-5 , pulchowk , rupandehi, Butwal, Nepal",www.butwalkrishiyantraghar.com,"27.7113322604937,83.4640606416885",9857033906
Business Services,Advertising,Photo Choice Nepal Wedding photography,"Koteshwor, Kathmandu, Nepal",www.photochoicenepal.com,"27.673821523932,85.351696908474",9841509591
Business Services,Advertising,GREEN TREE Developers Pvt. Ltd,"Sanepa, Lalitpur, Kathmandu, Nepal",www.igreenarchitects.com,"27.6771596608829,85.3094019257171",9801167224
Business Services,Advertising,Nepgeeks Technology,"Putalisadak Kathmandu, Kathmandu, Nepal",nepgeeks.com/,"27.7032519,85.3236017",9869178426
Business Services,Advertising,Digital Terai,"New Baneshwor, Kathmandu, Nepal",digitalterai.com/,"27.7190688511289,85.3308269550781",9863992047
